RowID,Citation,URL_Kind,URL,HTTP_Code,Final_URL,Content_Type,Size_Bytes,Text_Chars,Verdict,Notes
CORE-01,Ryan & Deci — Self-Determination Theory (needs),readable,https://selfdeterminationtheory.org/SDT/documents/2000_RyanDeci_SDT.pdf,200,https://selfdeterminationtheory.org/SDT/documents/2000_RyanDeci_SDT.pdf,application/pdf,2336577,18832,OK_READABLE,"PDF 11p, text layer OK (18832 chars in first 4p)"
CORE-01,Ryan & Deci — Self-Determination Theory (needs),landing,https://selfdeterminationtheory.org/theory/,200,https://selfdeterminationtheory.org/theory/,text/html; charset=UTF-8,19338,11520,OK_HTML,HTML 11520 chars
CORE-02,"Markland, Ryan, Tobin & Rollnick — MI + SDT",readable,https://selfdeterminationtheory.org/SDT/documents/2005_MarklandRyanTobinRollnick_MotivationalInterviewing.pdf,200,https://selfdeterminationtheory.org/SDT/documents/2005_MarklandRyanTobinRollnick_MotivationalInterviewing.pdf,application/pdf,218654,9230,OK_READABLE,"PDF 21p, text layer OK (9230 chars in first 4p)"
CORE-02,"Markland, Ryan, Tobin & Rollnick — MI + SDT",landing,https://pure.ewha.ac.kr/en/publications/motivational-interviewing-and-self-determination-theory/,200,https://pure.ewha.ac.kr/en/publications/motivational-interviewing-and-self-determination-theory/,text/html;charset=UTF-8,8210,6369,OK_LANDING,HTML 6369 chars; markers: ['log in']
CORE-03,"Vansteenkiste, Williams & Resnicow — SDT/MI integration",readable,https://selfdeterminationtheory.org/wp-content/uploads/2014/04/2012_VansteenkisteWilliamsResnicow_InterventionDevelopment_IJBNPA.pdf,200,https://selfdeterminationtheory.org/wp-content/uploads/2014/04/2012_VansteenkisteWilliamsResnicow_InterventionDevelopment_IJBNPA.pdf,application/pdf,299025,18851,OK_READABLE,"PDF 11p, text layer OK (18851 chars in first 4p)"
CORE-03,"Vansteenkiste, Williams & Resnicow — SDT/MI integration",landing,https://link.springer.com/article/10.1186/1479-5868-9-23,200,https://link.springer.com/article/10.1186/1479-5868-9-23,text/html; charset=utf-8,3038,190,BAD_STUB,"HTML stub, only 190 chars; markers: []"
CORE-04,Bandura — Self-efficacy,readable,https://www.uky.edu/~eushe2/Bandura/Bandura1997SE.pdf,302,https://motivation.uky.edu/,,0,0,UNKNOWN,content-type none
CORE-04,Bandura — Self-efficacy,landing,https://psycnet.apa.org/record/1997-08589-000,200,https://psycnet.apa.org/record/1997-08589-000,text/html,1035,77,BAD_STUB,"HTML stub, only 77 chars; markers: []"
CORE-05,"Deci, Koestner & Ryan — extrinsic rewards meta-analysis",readable,https://selfdeterminationtheory.org/wp-content/uploads/2014/04/1999_DeciKoestnerRyan_Meta.pdf,200,https://selfdeterminationtheory.org/wp-content/uploads/2014/04/1999_DeciKoestnerRyan_Meta.pdf,application/pdf,7388022,0,BAD_SCANNED,"PDF 42p, NO text layer (scanned/image-only, needs OCR)"
CORE-05,"Deci, Koestner & Ryan — extrinsic rewards meta-analysis",landing,https://doi.org/10.1037/0033-2909.125.6.627,200,https://doi.apa.org/doi/10.1037/0033-2909.125.6.627,text/html,1033,77,BAD_STUB,"HTML stub, only 77 chars; markers: []"
CORE-06,Frey & Jegen — motivation crowding theory,readable,https://www.bsfrey.ch/articles/C_317_01.pdf,200,https://www.bsfrey.ch/publications/articles/,text/html; charset=UTF-8,86277,61379,OK_LANDING,HTML 61379 chars; markers: ['signin']
CORE-06,Frey & Jegen — motivation crowding theory,landing,https://doi.org/10.1023/A:1017564312479,404,https://doi.org/10.1023/A:1017564312479,text/html;charset=utf-8,3179,0,BAD_DEAD,HTTP 404
CORE-07,"Lepper, Greene & Nisbett — over-justification",readable,https://selfdeterminationtheory.org/SDT/documents/1973_LepperGreeneNisbett.pdf,404,https://selfdeterminationtheory.org/SDT/documents/1973_LepperGreeneNisbett.pdf,text/html,139,0,BAD_DEAD,HTTP 404
CORE-07,"Lepper, Greene & Nisbett — over-justification",landing,https://psycnet.apa.org/doi/10.1037/h0035519,200,https://psycnet.apa.org/doi/10.1037/h0035519,text/html,1033,77,BAD_STUB,"HTML stub, only 77 chars; markers: []"
CORE-08,Reijula & Hertwig — self-nudging & citizen choice architect,readable,https://nudging-for-sdgs.eu/wp-content/uploads/2023/12/Self-nudging-and-the-citizen-choice-architect.pdf,200,https://nudging-for-sdgs.eu/wp-content/uploads/2023/12/Self-nudging-and-the-citizen-choice-architect.pdf,application/pdf,181667,10249,OK_READABLE,"PDF 31p, text layer OK (10249 chars in first 4p)"
CORE-08,Reijula & Hertwig — self-nudging & citizen choice architect,landing,https://researchportal.helsinki.fi/en/publications/self-nudging-and-the-citizen-choice-architect,200,https://researchportal.helsinki.fi/en/publications/self-nudging-and-the-citizen-choice-architect/,text/html;charset=UTF-8,8487,7856,OK_LANDING,"HTML 7856 chars; markers: ['log in', 'signin']"
CORE-09,Carver & Scheier — self-regulation / control theory,readable,https://stuff.mit.edu/afs/athena/course/9/9.00/readings/CarverScheier1982.pdf,404,https://stuff.mit.edu/afs/athena/course/9/9.00/readings/CarverScheier1982.pdf,text/html,4102,0,BAD_DEAD,HTTP 404
CORE-09,Carver & Scheier — self-regulation / control theory,landing,https://doi.org/10.1037/0033-295X.89.2.111,404,https://doi.org/10.1037/0033-295X.89.2.111,text/html;charset=utf-8,3181,0,BAD_DEAD,HTTP 404
CORE-10,Locke & Latham — goal-setting theory,readable,https://home.ubalt.edu/tmitch/642/Articles%20syllabus/Locke%20Latham%202002%20building%20theory%20goal%20setting%20Am%20Psych.pdf,404,https://home.ubalt.edu/tmitch/642/Articles%20syllabus/Locke%20Latham%202002%20building%20theory%20goal%20setting%20Am%20Psych.pdf,text/html,1245,0,BAD_DEAD,HTTP 404
CORE-10,Locke & Latham — goal-setting theory,landing,https://psycnet.apa.org/record/2002-10108-003,200,https://psycnet.apa.org/record/2002-10108-003,text/html,1028,76,BAD_STUB,"HTML stub, only 76 chars; markers: []"
CORE-11,Ordonez et al. — Goals Gone Wild,readable,https://www.hbs.edu/ris/Publication%20Files/09-083.pdf,200,https://www.hbs.edu/ris/Publication%20Files/09-083.pdf,application/pdf;charset=utf-8,184565,3308,OK_READABLE,"PDF 28p, text layer OK (3308 chars in first 4p)"
CORE-11,Ordonez et al. — Goals Gone Wild,landing,https://www.jstor.org/stable/27747490,200,https://www.jstor.org/stable/27747490,text/html; charset=utf-8,3038,190,BAD_STUB,"HTML stub, only 190 chars; markers: []"
