RowID,Citation,FinalStatus,ReadableURL,ReadableDetail,Fix
CORE-01,Ryan & Deci — Self-Determination Theory (needs),READY,https://selfdeterminationtheory.org/SDT/documents/2000_RyanDeci_SDT.pdf,"PDF 11p, text layer OK (18832 chars in first 4p)",
CORE-02,"Markland, Ryan, Tobin & Rollnick — MI + SDT",READY,https://selfdeterminationtheory.org/SDT/documents/2005_MarklandRyanTobinRollnick_MotivationalInterviewing.pdf,"PDF 21p, text layer OK (9230 chars in first 4p)",
CORE-03,"Vansteenkiste, Williams & Resnicow — SDT/MI integration",READY,https://selfdeterminationtheory.org/wp-content/uploads/2014/04/2012_VansteenkisteWilliamsResnicow_InterventionDevelopment_IJBNPA.pdf,"PDF 11p, text layer OK (18851 chars in first 4p)",
CORE-04,Bandura — Self-efficacy,DEAD,https://www.uky.edu/~eushe2/Bandura/Bandura1997SE.pdf,"Readable URL redirects to motivation.uky.edu homepage (source gone). Needs a replacement copy of Bandura 1997 (book, W.H. Freeman). Known legal path: APA PsycBooks / library.",NEEDS REPLACEMENT
CORE-05,"Deci, Koestner & Ryan — extrinsic rewards meta-analysis",OCR_READY,https://selfdeterminationtheory.org/wp-content/uploads/2014/04/1999_DeciKoestnerRyan_Meta.pdf,"PDF is scanned (no text layer per pypdf+pymupdf, 42p) BUT OCR pipeline verified: Firecrawl extracted full text incl. abstract statistics",
CORE-06,Frey & Jegen — motivation crowding theory,READY,https://www.bsfrey.ch/articles/C_317_01.pdf,"Matrix URL DEAD (redirects to publications listing, not the paper). VERIFIED replacement PDF: https://www.bsfrey.ch/wp-content/uploads/2021/08/motivation-crowding-theory.pdf (23p, text layer OK). Correct DOI is 10.1111/1467-6419.00150 (matrix DOI 10.1023/A:1017564312479 is dead).",REPLACEMENT URL VERIFIED
CORE-07,"Lepper, Greene & Nisbett — over-justification",DEAD,https://selfdeterminationtheory.org/SDT/documents/1973_LepperGreeneNisbett.pdf,HTTP 404 (BAD_DEAD),NEEDS REPLACEMENT
CORE-08,Reijula & Hertwig — self-nudging & citizen choice architect,READY,https://nudging-for-sdgs.eu/wp-content/uploads/2023/12/Self-nudging-and-the-citizen-choice-architect.pdf,"PDF 31p, text layer OK (10249 chars in first 4p)",
CORE-09,Carver & Scheier — self-regulation / control theory,DEAD,https://stuff.mit.edu/afs/athena/course/9/9.00/readings/CarverScheier1982.pdf,HTTP 404 (BAD_DEAD),NEEDS REPLACEMENT
CORE-10,Locke & Latham — goal-setting theory,DEAD,https://home.ubalt.edu/tmitch/642/Articles%20syllabus/Locke%20Latham%202002%20building%20theory%20goal%20setting%20Am%20Psych.pdf,HTTP 404 (BAD_DEAD),NEEDS REPLACEMENT
CORE-11,Ordonez et al. — Goals Gone Wild,READY,https://www.hbs.edu/ris/Publication%20Files/09-083.pdf,"PDF 28p, text layer OK (3308 chars in first 4p)",
CORE-12,Ferster & Skinner — Schedules of Reinforcement,CAVEAT,https://archive.org/details/schedulesofreinf0000fers,HTML 6218 chars; markers: ['log in'],
CORE-13,Staddon & Cerutti — operant conditioning review,CAVEAT,https://pmc.ncbi.nlm.nih.gov/articles/PMC1473025/,"HTML stub, only 143 chars; markers: ['captcha']",
CORE-14,Clark & Chalmers — The Extended Mind,READY,https://consc.net/papers/extended.html,HTML 33493 chars,
CORE-15,Gross — emotion regulation timeline,DEAD,https://spl.stanford.edu/pdfs/1998%20Gross%20-%20The%20Emerging%20Field%20of%20Emotion%20Regulation.pdf,HTTP 404 (BAD_DEAD),NEEDS REPLACEMENT
CORE-16,Csikszentmihalyi — Flow,CAVEAT,https://archive.org/details/flowpsychologyof0000csik,"HTML 6246 chars; markers: ['log in', 'purchase']",
CORE-17,Kazdin — Single-Case Research Designs,CAVEAT,https://archive.org/details/singlecaseresear00alan,HTML 6453 chars; markers: ['log in'],
CORE-18,Tate et al. — SCRIBE 2016 reporting guideline,READY,https://www.equator-network.org/reporting-guidelines/scribe-statement/,HTML 3626 chars,
CORE-19,Klasnja et al. — Micro-randomized trials,CAVEAT,https://pmc.ncbi.nlm.nih.gov/articles/PMC5820391/,"HTML stub, only 143 chars; markers: ['captcha']",
CORE-20,Collins — Multiphase Optimization Strategy (MOST),DEAD,https://methodology.psu.edu/wp-content/uploads/2020/05/Collins-2018-MOST-Overview.pdf,HTTP 404 (BAD_DEAD),NEEDS REPLACEMENT
A1-01,Hui — The Question Concerning Technology in China,READY,https://ia800505.us.archive.org/20/items/cyclonopedia-negarestani-reza/The_Question_Concerning_Technology_in_China--_Yuk_Hui.pdf,"Text layer confirmed via pymupdf (front-matter pages are scans; body text OK, 348p)",
A1-02,Hui — Cosmotechnics as Cosmopolitics,CAVEAT,https://www.e-flux.com/journal/86/161887/cosmotechnics-as-cosmopolitics/,HTML 7314 chars; markers: ['subscribe'],
A1-03,Hui — Art and Cosmotechnics,CAVEAT,https://www.e-flux.com/books/327526/art-and-cosmotechnics,HTML 4764 chars; markers: ['subscribe'],
A1-04,Hui & Lemmens (eds.) — Cosmotechnics (Anthropocene),READY,https://api.pageplace.de/preview/DT0400.9781000396324_A40918824/preview-9781000396324_A40918824.pdf,"PDF 17p, text layer OK (2075 chars in first 4p)",
A1-05,Simondon — On the Mode of Existence of Technical Objects,DEAD,https://archive.org/details/onmodeofexistenc0000simo,HTTP 404 (BAD_DEAD),NEEDS REPLACEMENT
